word,en_translation,part_of_speech,difficulty,gender,example_sentence,en_example_sentence
hola,hello,interjection,A1,,¡Hola! ¿Cómo estás?,Hello! How are you?
adiós,goodbye,interjection,A1,,"Adiós, nos vemos mañana.","Goodbye, see you tomorrow."
por favor,please,phrase,A1,,"Un café, por favor.","A coffee, please."
gracias,thank you,interjection,A1,,Muchas gracias por tu ayuda.,Thank you very much for your help.
de nada,you're welcome,phrase,A1,,"De nada, es un placer.","You're welcome, it's a pleasure."
sí,yes,adverb,A1,,"Sí, yo quiero ir.","Yes, I want to go."
no,no,adverb,A1,,No tengo tiempo.,I don't have time.
buenos días,good morning,phrase,A1,,"Buenos días, señor.","Good morning, sir."
buenas tardes,good afternoon,phrase,A1,,"Buenas tardes, ¿cómo está?","Good afternoon, how are you?"
buenas noches,good night,phrase,A1,,"Buenas noches, que descanses.","Good night, rest well."
perdón,sorry / excuse me,interjection,A1,,"Perdón, ¿dónde está el baño?","Excuse me, where is the bathroom?"
yo,I,pronoun,A1,,Yo soy estudiante.,I am a student.
tú,you (informal),pronoun,A1,,¿Tú hablas español?,Do you speak Spanish?
él,he,pronoun,A1,masculine,Él vive en Madrid.,He lives in Madrid.
ella,she,pronoun,A1,feminine,Ella canta muy bien.,She sings very well.
nosotros,we,pronoun,A1,masculine,Nosotros vamos al parque.,We go to the park.
ellos,they (masc.),pronoun,A1,masculine,Ellos estudian mucho.,They study a lot.
ellas,they (fem.),pronoun,A1,feminine,Ellas trabajan juntas.,They work together.
usted,you (formal),pronoun,A1,,¿Usted quiere café?,Would you like coffee?
ustedes,you all (formal),pronoun,A1,,¿Ustedes vienen mañana?,Are you all coming tomorrow?
ser,to be (permanent),verb,A1,,Yo soy de Japón.,I am from Japan.
estar,to be (state/location),verb,A1,,Estoy cansado hoy.,I am tired today.
tener,to have,verb,A1,,Tengo dos hermanos.,I have two siblings.
ir,to go,verb,A1,,Voy a la tienda.,I go to the store.
hacer,to do / to make,verb,A1,,¿Qué haces hoy?,What are you doing today?
poder,to be able to / can,verb,A1,,¿Puedo ir contigo?,Can I go with you?
querer,to want / to love,verb,A1,,Quiero aprender español.,I want to learn Spanish.
decir,to say / to tell,verb,A1,,¿Qué dices?,What are you saying?
hablar,to speak,verb,A1,,Hablo un poco de español.,I speak a little Spanish.
comer,to eat,verb,A1,,Vamos a comer juntos.,Let's eat together.
beber,to drink,verb,A1,,¿Quieres beber agua?,Do you want to drink water?
vivir,to live,verb,A1,,Vivo en Tokio.,I live in Tokyo.
saber,to know (facts),verb,A1,,No sé la respuesta.,I don't know the answer.
dar,to give,verb,A1,,Dame tu número.,Give me your number.
ver,to see,verb,A1,,¿Puedes ver el mar?,Can you see the sea?
venir,to come,verb,A1,,¿Vienes a la fiesta?,Are you coming to the party?
llevar,to carry / to wear,verb,A1,,Llevo una camisa azul.,I'm wearing a blue shirt.
llamar,to call,verb,A1,,Me llamo Carlos.,My name is Carlos.
necesitar,to need,verb,A1,,Necesito ayuda.,I need help.
gustar,to like / to please,verb,A1,,Me gusta la música.,I like music.
hay,there is / there are,verb,A1,,Hay un parque cerca.,There is a park nearby.
comprar,to buy,verb,A1,,Voy a comprar ropa nueva.,I'm going to buy new clothes.
el,the (masc.),article,A1,masculine,El perro es grande.,The dog is big.
la,the (fem.),article,A1,feminine,La casa es bonita.,The house is pretty.
los,the (masc. pl.),article,A1,masculine,Los niños juegan.,The children play.
las,the (fem. pl.),article,A1,feminine,Las flores son rojas.,The flowers are red.
un,a / an (masc.),article,A1,masculine,Tengo un gato.,I have a cat.
una,a / an (fem.),article,A1,feminine,Hay una mesa aquí.,There is a table here.
bueno,good / well (filler),adjective,A1,masculine,Es un buen día.,It's a good day.
malo,bad,adjective,A1,masculine,Hace mal tiempo hoy.,The weather is bad today.
grande,big,adjective,A1,,La ciudad es muy grande.,The city is very big.
pequeño,small,adjective,A1,masculine,El niño es pequeño.,The boy is small.
nuevo,new,adjective,A1,masculine,Tengo un teléfono nuevo.,I have a new phone.
mi,my,adjective,A1,,Esta es mi casa.,This is my house.
tu,your (informal),adjective,A1,,¿Cuál es tu nombre?,What is your name?
su,his / her / your (formal),adjective,A1,,Su casa es grande.,His house is big.
este,this,adjective,A1,masculine,Este libro es interesante.,This book is interesting.
ese,that,adjective,A1,masculine,Ese carro es rojo.,That car is red.
otro,other / another,adjective,A1,masculine,Dame otro vaso.,Give me another glass.
mucho,much / a lot,adverb,A1,,Trabajo mucho.,I work a lot.
muy,very,adverb,A1,,Ella es muy inteligente.,She is very intelligent.
bien,well,adverb,A1,,"Estoy bien, gracias.","I'm well, thanks."
mal,badly / bad,adverb,A1,,Me siento mal.,I feel bad.
aquí,here,adverb,A1,,Ven aquí.,Come here.
allí,there,adverb,A1,,El banco está allí.,The bank is over there.
ahora,now,adverb,A1,,Vamos ahora.,Let's go now.
hoy,today,adverb,A1,,Hoy es lunes.,Today is Monday.
mañana,tomorrow,adverb,A1,,Te veo mañana.,I'll see you tomorrow.
siempre,always,adverb,A1,,Siempre llego temprano.,I always arrive early.
nunca,never,adverb,A1,,Nunca como carne.,I never eat meat.
también,also / too,adverb,A1,,Yo también quiero ir.,I also want to go.
más,more,adverb,A1,,Quiero más café.,I want more coffee.
menos,less,adverb,A1,,Necesito menos estrés.,I need less stress.
dónde,where,adverb,A1,,¿Dónde vives?,Where do you live?
cuándo,when,adverb,A1,,¿Cuándo llegas?,When do you arrive?
cómo,how,adverb,A1,,¿Cómo te llamas?,What is your name?
cuánto,how much,adverb,A1,,¿Cuánto cuesta?,How much does it cost?
casa,house / home,noun,A1,feminine,Voy a mi casa.,I'm going to my house.
agua,water,noun,A1,feminine,Quiero un vaso de agua.,I want a glass of water.
comida,food,noun,A1,feminine,La comida está lista.,The food is ready.
persona,person,noun,A1,feminine,Es una buena persona.,They are a good person.
hombre,man,noun,A1,masculine,El hombre camina por la calle.,The man walks down the street.
mujer,woman,noun,A1,feminine,La mujer lee un libro.,The woman reads a book.
niño,boy / child,noun,A1,masculine,El niño juega en el parque.,The boy plays in the park.
amigo,friend,noun,A1,masculine,Él es mi mejor amigo.,He is my best friend.
